Name,Address,Latitude,Longitude,Opening Hours,Popular Times,Secondary Opening Hours,Open Now,Current Opening Hours
Carson,Carson, CA, USA,33.8316745,-118.281693,N/A,N/A,N/A,N/A,N/A
Stonehurst,Stonehurst, Los Angeles, CA 91352, USA,34.251114,-118.3703581,N/A,N/A,N/A,N/A,N/A
Natural Grocers,759 Grapevine Hwy, Hurst, TX 76054, United States,32.858329,-97.18229799999999,N/A,N/A,N/A,N/A,N/A
Hurst Ranch Historical Center,3320 1227 S Orange Ave, West Covina, CA 91790, United States,34.0640878,-117.9520583,N/A,N/A,N/A,N/A,N/A
Dillard's,1101 Melbourne Rd, Hurst, TX 76053, United States,32.8279376,-97.19978060000001,N/A,N/A,N/A,N/A,N/A
Angels Flight Railway,351 S Hill St, Los Angeles, CA 90013, United States,34.0516174,-118.2506142,N/A,N/A,N/A,N/A,N/A
Holiday Inn Express & Suites DFW West - Hurst,820 Thousand Oaks Dr, Hurst, TX 76054, United States,32.8417582,-97.1876053,N/A,N/A,N/A,N/A,N/A
Avila Adobe,10 Olvera St, Los Angeles, CA 90012, United States,34.0572431,-118.2379814,N/A,N/A,N/A,N/A,N/A
The Hoxton, Downtown LA,1060 S Broadway, Los Angeles, CA 90015, United States,34.0397406,-118.2585266,N/A,N/A,N/A,N/A,N/A
Chicken Salad Chick,520 Grapevine Hwy #500, Hurst, TX 76054, United States,32.8631416,-97.1779317,N/A,N/A,N/A,N/A,N/A
Crumbl - Hurst,1306 W Pipeline Rd, Hurst, TX 76053, United States,32.8240801,-97.1996151,N/A,N/A,N/A,N/A,N/A
Hollywood Sign,Los Angeles, CA 90068, United States,34.1341151,-118.3215482,N/A,N/A,N/A,N/A,N/A
