Name,Address,Latitude,Longitude,Opening Hours,Popular Times,Secondary Opening Hours,Open Now,Current Opening Hours
Palisades Park,Ocean Ave, Santa Monica, CA 90401, United States,34.0230179,-118.5094604,N/A,N/A,N/A,N/A,N/A
Temescal Canyon Park,15900 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.0374443,-118.5335041,N/A,N/A,N/A,N/A,N/A
The Point at the Bluffs,301 N Mt Holyoke Ave, Pacific Palisades, CA 90272, United States,34.0360113,-118.5326475,N/A,N/A,N/A,N/A,N/A
Pacific Palisades Beach,16931 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.039016,-118.5517359,N/A,N/A,N/A,N/A,N/A
SRF Lake Shrine (Reservation required),17190 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0434754,-118.5528976,N/A,N/A,N/A,N/A,N/A
Pacific Palisades,Pacific Palisades, Los Angeles, CA, USA,34.0467365,-118.546434,N/A,N/A,N/A,N/A,N/A
Eagle Rock Trail Head,E Topanga Fire Rd, Malibu, CA 90265, United States,34.1074429,-118.570987,N/A,N/A,N/A,N/A,N/A
Spruzzo Restaurant & Bar,538 Palisades Dr, Los Angeles, CA 90272, United States,34.0456394,-118.5516703,N/A,N/A,N/A,N/A,N/A
Will Rogers State Beach,17000 CA-1, Pacific Palisades, CA 90272, United States,34.0350564,-118.5366589,N/A,N/A,N/A,N/A,N/A
The Cafe,Getty Villa, 17985 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.0460868,-118.5651625,N/A,N/A,N/A,N/A,N/A
Venice Canal Historic District,Venice, CA 90292, United States,33.9833582,-118.4675949,N/A,N/A,N/A,N/A,N/A
Juicy Ladies,17361 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0398428,-118.55472,N/A,N/A,N/A,N/A,N/A
Palisades Park,1450 Ocean Ave, Santa Monica, CA 90402, United States,34.0127772,-118.4970452,N/A,N/A,N/A,N/A,N/A
Golden Bull Restaurant,170 W Channel Rd, Santa Monica, CA 90402, United States,34.0290669,-118.5178396,N/A,N/A,N/A,N/A,N/A
Annenberg Community Beach House,415 Pacific Coast Hwy, Santa Monica, CA 90402, United States,34.0244025,-118.5133233,N/A,N/A,N/A,N/A,N/A
Huntington Palisades,441 Ocampo Dr, Pacific Palisades, CA 90272, United States,34.0367718,-118.5215263,N/A,N/A,N/A,N/A,N/A
Santa Monica Pier,200 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082821,-118.4987585,N/A,N/A,N/A,N/A,N/A
Fiesta Feast,17336 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0404325,-118.5533845,N/A,N/A,N/A,N/A,N/A
Rocco's Cucina,17332 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0405723,-118.5534195,N/A,N/A,N/A,N/A,N/A
